incident_id,incident_year,incident_date,jurisdiction_id,state_abbr,offender_race_id,offender_count,victim_count
136994,2009,2009-01-17,0,AZ,0,1,1
136995,2009,2009-01-18,0,AZ,2,1,1
136996,2009,2009-01-31,0,AZ,1,1,1
136997,2009,2009-02-01,0,AZ,0,1,2
136998,2009,2009-02-04,0,AZ,6,0,1
136999,2009,2009-02-09,0,AZ,0,1,1
137000,2009,2009-02-12,0,AZ,6,0,1
137001,2009,2009-02-19,0,AZ,1,3,1
137002,2009,2009-03-06,0,AZ,1,1,5
137003,2009,2009-04-02,1,AZ,6,0,1
137004,2009,2009-04-17,1,AZ,6,0,1
137005,2009,2009-05-05,1,AZ,2,1,1
137006,2009,2009-05-10,1,AZ,0,2,3
137007,2009,2009-09-06,1,AZ,6,0,1
137008,2009,2009-09-06,1,AZ,6,0,1
137009,2009,2009-09-11,1,AZ,6,0,1
137010,2009,2009-12-01,1,AZ,6,0,1
137011,2009,2009-01-16,0,AZ,6,0,1
137012,2009,2009-07-13,0,AZ,6,0,1
137013,2009,2009-05-11,0,AZ,6,0,1
137014,2009,2009-01-27,0,AZ,6,0,1
137015,2009,2009-05-06,0,AZ,2,2,1
137016,2009,2009-06-18,0,AZ,6,0,1
137017,2009,2009-08-26,0,AZ,6,0,1
137018,2009,2009-10-22,0,AZ,6,0,1
137019,2009,2009-04-08,0,AZ,0,1,1
137020,2009,2009-05-26,0,AZ,0,1,3
137021,2009,2009-12-05,0,AZ,0,3,2
137022,2009,2009-01-05,0,AZ,1,1,1
137023,2009,2009-01-17,0,AZ,6,0,1
137024,2009,2009-01-24,0,AZ,6,0,1
137025,2009,2009-02-01,0,AZ,6,0,3
137026,2009,2009-02-05,0,AZ,6,0,1
137027,2009,2009-02-11,0,AZ,1,1,1
137028,2009,2009-02-25,0,AZ,0,1,1
137029,2009,2009-03-01,0,AZ,0,1,2
137030,2009,2009-03-08,0,AZ,6,0,1
137031,2009,2009-03-16,0,AZ,6,0,1
137032,2009,2009-03-14,0,AZ,6,0,4
137033,2009,2009-03-28,0,AZ,0,25,7
137034,2009,2009-04-06,0,AZ,6,0,1
137035,2009,2009-04-10,0,AZ,6,0,1
137036,2009,2009-04-24,0,AZ,6,0,1
137037,2009,2009-05-02,0,AZ,0,1,2
137038,2009,2009-05-04,0,AZ,0,1,1
137039,2009,2009-05-06,0,AZ,0,1,1
137040,2009,2009-05-07,0,AZ,6,0,1
137041,2009,2009-05-21,0,AZ,0,1,1
137042,2009,2009-05-24,0,AZ,6,0,1
137043,2009,2009-05-27,0,AZ,0,3,2
137044,2009,2009-05-26,0,AZ,0,2,4
137045,2009,2009-07-06,0,AZ,0,1,1
137046,2009,2009-07-05,0,AZ,0,1,1
137047,2009,2009-07-08,0,AZ,6,0,1
137048,2009,2009-07-09,0,AZ,0,1,1
137049,2009,2009-07-09,0,AZ,6,0,1
137050,2009,2009-07-11,0,AZ,6,0,1
137051,2009,2009-07-12,0,AZ,0,1,1
137052,2009,2009-07-13,0,AZ,6,0,1
137053,2009,2009-07-16,0,AZ,0,1,1
137054,2009,2009-07-19,0,AZ,6,0,1
137055,2009,2009-07-22,0,AZ,0,1,1
137056,2009,2009-07-28,0,AZ,6,0,1
137057,2009,2009-08-04,0,AZ,0,1,1
137058,2009,2009-08-08,0,AZ,0,1,1
